INSERT INTO MedicalEquipment VALUES (1, 'X-Ray', 947555.05);
INSERT INTO MedicalEquipment VALUES (729, 'Surgical Table', 463632.26);
INSERT INTO MedicalEquipment VALUES (730, 'Heart Rate Monitor', 1915170.41);
INSERT INTO MedicalEquipment VALUES (731, 'Wheelchair', 1539261.86);
INSERT INTO MedicalEquipment VALUES (732, 'MRI Machine', 1150238.22);
INSERT INTO MedicalEquipment VALUES (733, 'Heart Rate Monitor', 1936387.78);
INSERT INTO MedicalEquipment VALUES (734, 'X-Ray', 234427.69);
INSERT INTO MedicalEquipment VALUES (735, 'Wheelchair', 925119.2);
INSERT INTO MedicalEquipment VALUES (736, 'Hospital Bed', 1785663.3);
INSERT INTO MedicalEquipment VALUES (737, 'MRI Machine', 668171.54);
INSERT INTO MedicalEquipment VALUES (738, 'Stethoscope', 893160.71);
INSERT INTO MedicalEquipment VALUES (739, 'X-Ray', 1619180.84);
INSERT INTO MedicalEquipment VALUES (740, 'X-Ray', 1460049.74);
INSERT INTO MedicalEquipment VALUES (741, 'Surgical Table', 959576.3);
INSERT INTO MedicalEquipment VALUES (742, 'Heart Rate Monitor', 898893.29);
INSERT INTO MedicalEquipment VALUES (743, 'Pacemaker', 971350.13);
INSERT INTO MedicalEquipment VALUES (744, 'Stethoscope', 501541.83);
INSERT INTO MedicalEquipment VALUES (745, 'Lift', 1625070.55);
INSERT INTO MedicalEquipment VALUES (746, 'Lift', 1518926.92);
INSERT INTO MedicalEquipment VALUES (747, 'Heart Rate Monitor', 1936958.12);
INSERT INTO MedicalEquipment VALUES (748, 'Lift', 1149160.83);
INSERT INTO MedicalEquipment VALUES (749, 'Forceps', 1638538.63);
INSERT INTO MedicalEquipment VALUES (750, 'MRI Machine', 1771583.52);
INSERT INTO MedicalEquipment VALUES (751, 'Forceps', 746892.43);
INSERT INTO MedicalEquipment VALUES (752, 'Wheelchair', 178536.91);
INSERT INTO MedicalEquipment VALUES (753, 'Pacemaker', 1101718.56);
INSERT INTO MedicalEquipment VALUES (754, 'Surgical Table', 817258.39);
INSERT INTO MedicalEquipment VALUES (755, 'Stethoscope', 1756483.7);
INSERT INTO MedicalEquipment VALUES (756, 'MRI Machine', 537572.29);
INSERT INTO MedicalEquipment VALUES (757, 'Hospital Bed', 211734.85);
INSERT INTO MedicalEquipment VALUES (758, 'X-Ray', 1670621.65);
INSERT INTO MedicalEquipment VALUES (759, 'Heart Rate Monitor', 1333051.54);
INSERT INTO MedicalEquipment VALUES (760, 'X-Ray', 884776.6);
INSERT INTO MedicalEquipment VALUES (761, 'Scalpel', 1905725.99);
INSERT INTO MedicalEquipment VALUES (762, 'X-Ray', 860774.72);
INSERT INTO MedicalEquipment VALUES (763, 'Hospital Bed', 1169288.18);
INSERT INTO MedicalEquipment VALUES (764, 'Pacemaker', 905395.03);
INSERT INTO MedicalEquipment VALUES (765, 'Forceps', 426191.26);
INSERT INTO MedicalEquipment VALUES (766, 'X-Ray', 931132.77);
INSERT INTO MedicalEquipment VALUES (767, 'Scalpel', 510906.29);
INSERT INTO MedicalEquipment VALUES (768, 'Heart Rate Monitor', 332274.93);
INSERT INTO MedicalEquipment VALUES (769, 'MRI Machine', 174528.31);
INSERT INTO MedicalEquipment VALUES (770, 'Surgical Table', 1004965.51);
INSERT INTO MedicalEquipment VALUES (771, 'Surgical Table', 440997.76);
INSERT INTO MedicalEquipment VALUES (772, 'X-Ray', 708190.12);
INSERT INTO MedicalEquipment VALUES (773, 'Surgical Table', 915101.75);
INSERT INTO MedicalEquipment VALUES (774, 'Hospital Bed', 1031088.36);
INSERT INTO MedicalEquipment VALUES (775, 'Forceps', 1586842.85);
INSERT INTO MedicalEquipment VALUES (776, 'Pacemaker', 1101059.82);
INSERT INTO MedicalEquipment VALUES (777, 'Wheelchair', 638373.14);
INSERT INTO MedicalEquipment VALUES (778, 'Scalpel', 1781949.07);
INSERT INTO MedicalEquipment VALUES (779, 'Lift', 1396871.62);
INSERT INTO MedicalEquipment VALUES (780, 'X-Ray', 218767.55);
INSERT INTO MedicalEquipment VALUES (781, 'Surgical Table', 209435.48);
INSERT INTO MedicalEquipment VALUES (782, 'Forceps', 1193010.3);
INSERT INTO MedicalEquipment VALUES (783, 'Forceps', 481016.97);
INSERT INTO MedicalEquipment VALUES (784, 'Defibrillator', 1669896.84);
INSERT INTO MedicalEquipment VALUES (785, 'Hospital Bed', 304929.97);
INSERT INTO MedicalEquipment VALUES (786, 'Hospital Bed', 211774.44);
INSERT INTO MedicalEquipment VALUES (787, 'MRI Machine', 1417205.96);
INSERT INTO MedicalEquipment VALUES (788, 'Lift', 478961.57);
INSERT INTO MedicalEquipment VALUES (789, 'Stethoscope', 1079777.57);
INSERT INTO MedicalEquipment VALUES (790, 'Forceps', 1968845.82);
INSERT INTO MedicalEquipment VALUES (791, 'Stethoscope', 1896514.57);
INSERT INTO MedicalEquipment VALUES (792, 'X-Ray', 1384915.0);
INSERT INTO MedicalEquipment VALUES (793, 'MRI Machine', 507838.1);
INSERT INTO MedicalEquipment VALUES (794, 'Defibrillator', 787866.29);
INSERT INTO MedicalEquipment VALUES (795, 'Pacemaker', 1111863.97);
INSERT INTO MedicalEquipment VALUES (796, 'X-Ray', 943976.57);
INSERT INTO MedicalEquipment VALUES (797, 'Stethoscope', 404406.88);
INSERT INTO MedicalEquipment VALUES (798, 'Wheelchair', 316601.06);
INSERT INTO MedicalEquipment VALUES (799, 'Heart Rate Monitor', 1892658.91);
INSERT INTO MedicalEquipment VALUES (800, 'Stethoscope', 1999814.5);
INSERT INTO MedicalEquipment VALUES (801, 'MRI Machine', 1766783.36);
INSERT INTO MedicalEquipment VALUES (802, 'Scalpel', 896487.76);
INSERT INTO MedicalEquipment VALUES (803, 'Pacemaker', 1245464.57);
INSERT INTO MedicalEquipment VALUES (804, 'X-Ray', 701871.38);
INSERT INTO MedicalEquipment VALUES (805, 'Scalpel', 1257087.55);
INSERT INTO MedicalEquipment VALUES (806, 'Stethoscope', 1175295.41);
INSERT INTO MedicalEquipment VALUES (807, 'Pacemaker', 679584.26);
INSERT INTO MedicalEquipment VALUES (808, 'Wheelchair', 920713.48);
INSERT INTO MedicalEquipment VALUES (809, 'MRI Machine', 403467.73);
INSERT INTO MedicalEquipment VALUES (810, 'Hospital Bed', 1925470.35);
INSERT INTO MedicalEquipment VALUES (811, 'Defibrillator', 982940.68);
INSERT INTO MedicalEquipment VALUES (812, 'Pacemaker', 651125.8);
INSERT INTO MedicalEquipment VALUES (813, 'Pacemaker', 412227.54);
INSERT INTO MedicalEquipment VALUES (814, 'Forceps', 1048273.19);
INSERT INTO MedicalEquipment VALUES (815, 'Stethoscope', 1956573.56);
INSERT INTO MedicalEquipment VALUES (816, 'Stethoscope', 1787163.8);
INSERT INTO MedicalEquipment VALUES (817, 'Hospital Bed', 358113.67);
INSERT INTO MedicalEquipment VALUES (818, 'Scalpel', 1822235.48);
INSERT INTO MedicalEquipment VALUES (819, 'Scalpel', 25649.06);
INSERT INTO MedicalEquipment VALUES (820, 'Hospital Bed', 519407.01);
INSERT INTO MedicalEquipment VALUES (821, 'Pacemaker', 960231.88);
INSERT INTO MedicalEquipment VALUES (822, 'Pacemaker', 1599785.08);
INSERT INTO MedicalEquipment VALUES (823, 'Heart Rate Monitor', 1614331.32);
INSERT INTO MedicalEquipment VALUES (824, 'Scalpel', 524241.92);
INSERT INTO MedicalEquipment VALUES (825, 'Wheelchair', 153816.99);
INSERT INTO MedicalEquipment VALUES (826, 'X-Ray', 1357307.79);
INSERT INTO MedicalEquipment VALUES (827, 'Heart Rate Monitor', 1708492.63);
INSERT INTO MedicalEquipment VALUES (828, 'MRI Machine', 1105830.34);
INSERT INTO MedicalEquipment VALUES (829, 'MRI Machine', 230853.01);
INSERT INTO MedicalEquipment VALUES (830, 'X-Ray', 1775226.84);
INSERT INTO MedicalEquipment VALUES (831, 'Stethoscope', 1119737.8);
INSERT INTO MedicalEquipment VALUES (832, 'Lift', 1495795.8);
INSERT INTO MedicalEquipment VALUES (833, 'Hospital Bed', 1451739.39);
INSERT INTO MedicalEquipment VALUES (834, 'Surgical Table', 852294.42);
INSERT INTO MedicalEquipment VALUES (835, 'Surgical Table', 629187.23);
INSERT INTO MedicalEquipment VALUES (836, 'MRI Machine', 630081.35);
INSERT INTO MedicalEquipment VALUES (837, 'Wheelchair', 1717416.59);
INSERT INTO MedicalEquipment VALUES (838, 'Stethoscope', 1451196.57);
INSERT INTO MedicalEquipment VALUES (839, 'Wheelchair', 1405606.62);
INSERT INTO MedicalEquipment VALUES (840, 'Lift', 894803.83);
INSERT INTO MedicalEquipment VALUES (841, 'Stethoscope', 144405.25);
INSERT INTO MedicalEquipment VALUES (842, 'Wheelchair', 629479.77);
INSERT INTO MedicalEquipment VALUES (843, 'Forceps', 877684.02);
INSERT INTO MedicalEquipment VALUES (844, 'Pacemaker', 570443.92);
INSERT INTO MedicalEquipment VALUES (845, 'Defibrillator', 199774.9);
INSERT INTO MedicalEquipment VALUES (846, 'Pacemaker', 124008.17);
INSERT INTO MedicalEquipment VALUES (847, 'MRI Machine', 1584541.98);
INSERT INTO MedicalEquipment VALUES (848, 'Pacemaker', 1000476.19);
INSERT INTO MedicalEquipment VALUES (849, 'Defibrillator', 1430343.7);
INSERT INTO MedicalEquipment VALUES (850, 'Pacemaker', 941060.82);
INSERT INTO MedicalEquipment VALUES (851, 'X-Ray', 1439229.24);
INSERT INTO MedicalEquipment VALUES (852, 'Forceps', 874551.82);
INSERT INTO MedicalEquipment VALUES (853, 'Defibrillator', 1758215.63);
INSERT INTO MedicalEquipment VALUES (854, 'Pacemaker', 643973.34);
INSERT INTO MedicalEquipment VALUES (855, 'Pacemaker', 1307266.53);
INSERT INTO MedicalEquipment VALUES (856, 'Lift', 1437605.15);
INSERT INTO MedicalEquipment VALUES (857, 'Wheelchair', 818290.23);
INSERT INTO MedicalEquipment VALUES (858, 'Heart Rate Monitor', 1635822.14);
INSERT INTO MedicalEquipment VALUES (859, 'Surgical Table', 1838722.29);
INSERT INTO MedicalEquipment VALUES (860, 'Stethoscope', 924857.54);
INSERT INTO MedicalEquipment VALUES (861, 'Stethoscope', 877529.52);
INSERT INTO MedicalEquipment VALUES (862, 'Lift', 504138.31);
INSERT INTO MedicalEquipment VALUES (863, 'Wheelchair', 86067.58);
INSERT INTO MedicalEquipment VALUES (864, 'Forceps', 69344.35);
INSERT INTO MedicalEquipment VALUES (865, 'MRI Machine', 1502739.13);
INSERT INTO MedicalEquipment VALUES (866, 'Forceps', 321125.39);
INSERT INTO MedicalEquipment VALUES (867, 'Heart Rate Monitor', 1598004.83);
INSERT INTO MedicalEquipment VALUES (868, 'Hospital Bed', 1141886.42);
INSERT INTO MedicalEquipment VALUES (869, 'Lift', 1332213.44);
INSERT INTO MedicalEquipment VALUES (870, 'Hospital Bed', 1689738.57);
INSERT INTO MedicalEquipment VALUES (871, 'Stethoscope', 1403281.6);
INSERT INTO MedicalEquipment VALUES (872, 'Scalpel', 656373.85);
INSERT INTO MedicalEquipment VALUES (873, 'Hospital Bed', 1059510.88);
INSERT INTO MedicalEquipment VALUES (874, 'Heart Rate Monitor', 277463.2);
INSERT INTO MedicalEquipment VALUES (875, 'Hospital Bed', 1575990.26);
INSERT INTO MedicalEquipment VALUES (876, 'Scalpel', 608319.82);
INSERT INTO MedicalEquipment VALUES (877, 'Hospital Bed', 52162.44);
INSERT INTO MedicalEquipment VALUES (878, 'Lift', 598107.83);
INSERT INTO MedicalEquipment VALUES (879, 'Heart Rate Monitor', 1926114.62);
INSERT INTO MedicalEquipment VALUES (880, 'Defibrillator', 916580.96);
INSERT INTO MedicalEquipment VALUES (881, 'X-Ray', 903975.75);
INSERT INTO MedicalEquipment VALUES (882, 'Defibrillator', 1884701.26);
INSERT INTO MedicalEquipment VALUES (883, 'Heart Rate Monitor', 1762217.82);
INSERT INTO MedicalEquipment VALUES (884, 'Lift', 596225.55);
INSERT INTO MedicalEquipment VALUES (885, 'Scalpel', 1660778.56);
INSERT INTO MedicalEquipment VALUES (886, 'Surgical Table', 34753.52);
INSERT INTO MedicalEquipment VALUES (887, 'Pacemaker', 646369.85);
INSERT INTO MedicalEquipment VALUES (888, 'Lift', 1116063.3);
INSERT INTO MedicalEquipment VALUES (889, 'Hospital Bed', 459148.2);
INSERT INTO MedicalEquipment VALUES (890, 'Stethoscope', 1816609.28);
INSERT INTO MedicalEquipment VALUES (891, 'Forceps', 593890.11);
INSERT INTO MedicalEquipment VALUES (892, 'Surgical Table', 380928.58);
INSERT INTO MedicalEquipment VALUES (893, 'Surgical Table', 1883898.48);
INSERT INTO MedicalEquipment VALUES (894, 'Pacemaker', 1795486.42);
INSERT INTO MedicalEquipment VALUES (895, 'MRI Machine', 1266728.32);
INSERT INTO MedicalEquipment VALUES (896, 'Hospital Bed', 1825834.76);
INSERT INTO MedicalEquipment VALUES (897, 'Stethoscope', 477742.47);
INSERT INTO MedicalEquipment VALUES (898, 'Wheelchair', 761454.47);
INSERT INTO MedicalEquipment VALUES (899, 'Pacemaker', 1366427.59);
INSERT INTO MedicalEquipment VALUES (900, 'Defibrillator', 223591.0);
INSERT INTO MedicalEquipment VALUES (901, 'MRI Machine', 521818.3);
INSERT INTO MedicalEquipment VALUES (902, 'Scalpel', 841365.78);
INSERT INTO MedicalEquipment VALUES (903, 'Heart Rate Monitor', 1654204.93);
INSERT INTO MedicalEquipment VALUES (904, 'Pacemaker', 1976489.95);
INSERT INTO MedicalEquipment VALUES (905, 'Wheelchair', 464254.81);
INSERT INTO MedicalEquipment VALUES (906, 'X-Ray', 927407.86);
INSERT INTO MedicalEquipment VALUES (907, 'Lift', 1809049.91);
INSERT INTO MedicalEquipment VALUES (908, 'MRI Machine', 905844.03);
INSERT INTO MedicalEquipment VALUES (909, 'Defibrillator', 1181868.09);
INSERT INTO MedicalEquipment VALUES (910, 'X-Ray', 573297.64);
INSERT INTO MedicalEquipment VALUES (911, 'Hospital Bed', 679575.73);
INSERT INTO MedicalEquipment VALUES (912, 'Forceps', 843458.48);
INSERT INTO MedicalEquipment VALUES (913, 'Heart Rate Monitor', 1641812.04);
INSERT INTO MedicalEquipment VALUES (914, 'Wheelchair', 1090187.46);
INSERT INTO MedicalEquipment VALUES (915, 'Defibrillator', 1393967.35);
INSERT INTO MedicalEquipment VALUES (916, 'Pacemaker', 1699190.96);
INSERT INTO MedicalEquipment VALUES (917, 'Stethoscope', 1466663.8);
INSERT INTO MedicalEquipment VALUES (918, 'X-Ray', 1216498.18);
INSERT INTO MedicalEquipment VALUES (919, 'Pacemaker', 1264148.33);
INSERT INTO MedicalEquipment VALUES (920, 'X-Ray', 95854.59);
INSERT INTO MedicalEquipment VALUES (921, 'Hospital Bed', 1409802.51);
INSERT INTO MedicalEquipment VALUES (922, 'MRI Machine', 1440138.53);
INSERT INTO MedicalEquipment VALUES (923, 'Pacemaker', 1450741.68);
INSERT INTO MedicalEquipment VALUES (924, 'Stethoscope', 1151773.59);
INSERT INTO MedicalEquipment VALUES (925, 'Defibrillator', 1811939.31);
INSERT INTO MedicalEquipment VALUES (926, 'Pacemaker', 1820609.09);
INSERT INTO MedicalEquipment VALUES (927, 'Lift', 954621.7);
INSERT INTO MedicalEquipment VALUES (928, 'Stethoscope', 542003.17);
INSERT INTO MedicalEquipment VALUES (929, 'Scalpel', 1736478.91);
INSERT INTO MedicalEquipment VALUES (930, 'Scalpel', 987425.01);
INSERT INTO MedicalEquipment VALUES (931, 'Defibrillator', 1655950.22);
INSERT INTO MedicalEquipment VALUES (932, 'X-Ray', 1575271.68);
INSERT INTO MedicalEquipment VALUES (933, 'Forceps', 1670836.41);
INSERT INTO MedicalEquipment VALUES (934, 'Hospital Bed', 884027.59);
INSERT INTO MedicalEquipment VALUES (935, 'Scalpel', 1844756.78);
INSERT INTO MedicalEquipment VALUES (936, 'X-Ray', 704097.92);
INSERT INTO MedicalEquipment VALUES (937, 'MRI Machine', 433398.46);
INSERT INTO MedicalEquipment VALUES (938, 'Hospital Bed', 782481.85);
INSERT INTO MedicalEquipment VALUES (939, 'Surgical Table', 968062.22);
INSERT INTO MedicalEquipment VALUES (940, 'Forceps', 615577.74);
INSERT INTO MedicalEquipment VALUES (941, 'Wheelchair', 239105.51);
INSERT INTO MedicalEquipment VALUES (942, 'Hospital Bed', 1109987.57);
INSERT INTO MedicalEquipment VALUES (943, 'Forceps', 166154.75);
INSERT INTO MedicalEquipment VALUES (944, 'Wheelchair', 854622.39);
INSERT INTO MedicalEquipment VALUES (945, 'Wheelchair', 755241.0);
INSERT INTO MedicalEquipment VALUES (946, 'Wheelchair', 710153.22);
INSERT INTO MedicalEquipment VALUES (947, 'Scalpel', 1577911.77);
INSERT INTO MedicalEquipment VALUES (948, 'Stethoscope', 1788465.8);
INSERT INTO MedicalEquipment VALUES (949, 'Scalpel', 1416544.59);
INSERT INTO MedicalEquipment VALUES (950, 'MRI Machine', 303104.34);
INSERT INTO MedicalEquipment VALUES (951, 'Defibrillator', 366213.93);
INSERT INTO MedicalEquipment VALUES (952, 'Surgical Table', 647940.16);
INSERT INTO MedicalEquipment VALUES (953, 'Stethoscope', 1272219.6);
INSERT INTO MedicalEquipment VALUES (954, 'Surgical Table', 114815.59);
INSERT INTO MedicalEquipment VALUES (955, 'MRI Machine', 945825.47);
INSERT INTO MedicalEquipment VALUES (956, 'Stethoscope', 365247.98);
INSERT INTO MedicalEquipment VALUES (957, 'Defibrillator', 1201079.31);
INSERT INTO MedicalEquipment VALUES (958, 'Forceps', 912569.95);
INSERT INTO MedicalEquipment VALUES (959, 'Heart Rate Monitor', 996212.27);
INSERT INTO MedicalEquipment VALUES (960, 'Pacemaker', 979334.55);
INSERT INTO MedicalEquipment VALUES (961, 'Wheelchair', 458674.46);
INSERT INTO MedicalEquipment VALUES (962, 'Wheelchair', 1014360.88);
INSERT INTO MedicalEquipment VALUES (963, 'Scalpel', 1494240.01);
INSERT INTO MedicalEquipment VALUES (964, 'Heart Rate Monitor', 1488386.62);
INSERT INTO MedicalEquipment VALUES (965, 'Heart Rate Monitor', 208661.92);
INSERT INTO MedicalEquipment VALUES (966, 'Pacemaker', 1231661.36);
INSERT INTO MedicalEquipment VALUES (967, 'Heart Rate Monitor', 227436.65);
INSERT INTO MedicalEquipment VALUES (968, 'Wheelchair', 1204754.14);
INSERT INTO MedicalEquipment VALUES (969, 'Surgical Table', 943915.34);
INSERT INTO MedicalEquipment VALUES (970, 'Stethoscope', 1161488.94);
INSERT INTO MedicalEquipment VALUES (971, 'Wheelchair', 28017.31);
INSERT INTO MedicalEquipment VALUES (972, 'Scalpel', 1903305.73);
INSERT INTO MedicalEquipment VALUES (973, 'X-Ray', 516341.95);
INSERT INTO MedicalEquipment VALUES (974, 'X-Ray', 1759698.53);
INSERT INTO MedicalEquipment VALUES (975, 'MRI Machine', 1316655.47);
INSERT INTO MedicalEquipment VALUES (976, 'Stethoscope', 1353594.65);
INSERT INTO MedicalEquipment VALUES (977, 'Stethoscope', 871252.02);
INSERT INTO MedicalEquipment VALUES (978, 'Pacemaker', 708933.91);
INSERT INTO MedicalEquipment VALUES (979, 'Stethoscope', 1450542.42);
INSERT INTO MedicalEquipment VALUES (980, 'Wheelchair', 1185919.63);
INSERT INTO MedicalEquipment VALUES (981, 'Stethoscope', 523135.82);
INSERT INTO MedicalEquipment VALUES (982, 'X-Ray', 735564.06);
INSERT INTO MedicalEquipment VALUES (983, 'Hospital Bed', 842106.14);
INSERT INTO MedicalEquipment VALUES (984, 'MRI Machine', 1467723.07);
INSERT INTO MedicalEquipment VALUES (985, 'Pacemaker', 309129.03);
INSERT INTO MedicalEquipment VALUES (986, 'Pacemaker', 737524.51);
INSERT INTO MedicalEquipment VALUES (987, 'X-Ray', 1848662.32);
INSERT INTO MedicalEquipment VALUES (988, 'Defibrillator', 850772.95);
INSERT INTO MedicalEquipment VALUES (989, 'MRI Machine', 23398.94);
INSERT INTO MedicalEquipment VALUES (990, 'Stethoscope', 1349472.42);
INSERT INTO MedicalEquipment VALUES (991, 'Surgical Table', 1028243.94);
INSERT INTO MedicalEquipment VALUES (992, 'Stethoscope', 699425.11);
INSERT INTO MedicalEquipment VALUES (993, 'Surgical Table', 1160754.35);
INSERT INTO MedicalEquipment VALUES (994, 'Defibrillator', 404552.23);
INSERT INTO MedicalEquipment VALUES (995, 'Wheelchair', 513800.06);
INSERT INTO MedicalEquipment VALUES (996, 'Wheelchair', 222159.69);
INSERT INTO MedicalEquipment VALUES (997, 'Wheelchair', 188777.17);
INSERT INTO MedicalEquipment VALUES (998, 'Wheelchair', 1642250.05);
INSERT INTO MedicalEquipment VALUES (999, 'Surgical Table', 1981773.45);
INSERT INTO MedicalEquipment VALUES (1000, 'Pacemaker', 1300831.68);
